Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team,nba_player_id,nba_id
1999,2,45,Ryan Robertson,G,6-5,190.0,22.0,Kansas,Sr,,1,SAC,,1926.0
1998,1,7,Jason Williams,G,6-1,190.0,22.0,Florida,So  *,,12,SAC,,1715.0
1998,2,36,Jerome James,C,7-0,300.0,22.0,Florida A&M,Jr  *,,11,SAC,,1744.0
1997,1,11,Tariq Abdul-Wahad,SF,6-6,223.0,22.0,SAS Jose State,Jr  *,,8,SAC,,1505.0
1997,2,39,Anthony Johnson,G,6-3,195.0,22.0,Charleston,Sr,,13,SAC,,1533.0
1996,1,14,Peja Stojakovic,F,6-10,229.0,19.0,PAOK BC (Greece),1977 DOB  *,,13,SAC,,978.0
1995,1,13,Corliss Williamson,F,6-7,245.0,21.0,Arkansas,Jr  *,,12,SAC,,722.0
1995,2,47,Tyus Edney,PG,5-10,152.0,22.0,UCLA,Sr,,4,SAC,,721.0
1995,2,51,Dejan Bodiroga,SF,6-9,243.0,22.0,AX Armani Exchange Milan (Italy),1973 DOB,,0,SAC,,
1994,1,8,Brian Grant,PF,6-9,254.0,22.0,Xavier,Sr,,12,SAC,,258.0
1994,2,35,Michael Smith,F,6-8,230.0,22.0,Providence,Sr,,9,SAC,,63.0
