Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team,nba_player_id,nba_id
1996,2,54,Shandon Anderson,GF,6-6,208.0,22.0,Georgia,Sr,,10,UTA,,1000.0
1995,1,28,Greg Ostertag,C,7-2,280.0,22.0,Kansas,Sr,,11,UTA,,731.0
1994,2,47,Jamie Watson,F,6-7,190.0,22.0,South Carolina,Sr,,6,UTA,,320.0
1993,1,18,Luther Wright,C,7-2,270.0,21.0,Seton Hall,Jr  *,,1,UTA,,1007.0
1993,2,45,Bryon Russell,SG,6-7,225.0,22.0,Long Beach State,Sr,,13,UTA,,935.0
1991,1,21,Eric Murdock,G,6-1,190.0,23.0,Providence,Sr,,9,UTA,,785.0
1991,2,48,Ike Austin,C,6-10,255.0,21.0,Arizona State,Sr,,10,UTA,,1134.0
1990,2,33,Walter Palmer,C,7-2,215.0,21.0,Dartmouth,Sr,,3,UTA,,77794.0
1989,1,21,Blue Edwards,SG,6-4,200.0,23.0,East Carolina,Sr,,10,UTA,,898.0
1989,2,48,Junie Lewis,G,6-1,180.0,23.0,South Alabama,Sr,,1,UTA,,
1988,1,17,Eric Leckner,FC,6-11,265.0,22.0,Wyoming,Sr,,9,UTA,,287.0
1988,2,42,Jeff Moe,G,6-3,195.0,22.0,Iowa,Sr,,1,UTA,,
1988,3,67,Ricky Grace,PG,6-1,187.0,20.0,Perth (Australia),1967 DOB,,2,UTA,,76839.0
1987,1,15,Jose Rafael Ortiz-Rijos,C,6-11,264.0,23.0,Oregon State,Sr,,2,UTA,,
1987,3,61,Clarence Martin,FC,6-8,,,Western Kentucky,Sr,,0,UTA,,
1987,3,68,Billy Donovan,G,5-11,171.0,22.0,Providence,Sr,,1,UTA,,76586.0
1987,4,84,Reuben Holmes,C,6-11,200.0,22.0,Alabama State,Sr,,0,UTA,,
1987,5,107,Bart Kofoed,G,6-4,210.0,23.0,Nebraska-Kearney,Sr,,5,UTA,,77294.0
1987,6,130,Art Sabb,,,,,Bloomfield,Sr,,1,UTA,,
1987,7,153,Keith Webster,PG,5-11,,,Harvard,Sr,,1,UTA,,
1986,1,15,Dell Curry,SG,6-4,190.0,21.0,Virginia Tech,Sr,,16,UTA,,209.0
1986,3,61,John Shasky,C,6-11,235.0,21.0,Minnesota,Sr,,5,UTA,,1117.0
1986,3,63,Bill Breeding,C,7-2,220.0,24.0,Rocky Mountain,Sr,,0,UTA,,
1986,4,84,Marty Embry,F,6-9,240.0,22.0,DePaul,Sr,,0,UTA,,
1986,5,107,Kerry Boagni,F,6-8,205.0,,Cal State Fullerton,Sr,,0,UTA,,
1986,6,130,Chuck Everson,C,7-1,,,Villanova,Sr,,0,UTA,,
1986,7,153,Mark Mitchell,F,,,,Hartford,Sr,,0,UTA,,
1985,1,13,Karl Malone,PF,6-9,265.0,21.0,Louisiana Tech,Jr  *,,19,UTA,,252.0
1985,2,37,Carey Scurry,F,6-7,188.0,22.0,Long Island,Sr,,3,UTA,,78102.0
2025,1,18,"Walter Clayton, Jr.",G,6-4,195.0,22.0,Florida,Sr,WAS to  UTA,0,UTA,,1642383.0
2022,1,22,Walker Kessler,C,7-2,245.0,20.0,Auburn,So *,MEM to  MIN MIN  to UTA,3,UTA,,1631117.0
2022,2,36,Gabriele Procida,SG,6-6,191.0,20.0,Fortituto Kontatto Bologna (Italy),2002 DOB *,POR to  DET DET  to UTA,0,UTA,,
